"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.115567250E0,2.202519836E0,-3.291505280E0,1.386506744E1,1.441961150E1
1.125599250E0,2.548450470E0,-1.506916351E0,1.147543671E1,1.185120434E1
1.135630250E0,2.289938049E0,-1.886227570E0,1.023706192E1,1.065828821E1
1.145662250E0,1.326541443E0,-2.491868134E0,8.872349854E0,9.310623552E0
1.155694250E0,4.080514526E0,-2.109862518E0,1.471200623E1,1.541250291E1
1.165726250E0,7.745193787E0,1.459614716E0,1.958407471E1,2.111053017E1
1.175757375E0,3.227887573E0,5.689219208E0,1.481828522E1,1.619777917E1
1.185789375E0,8.972641296E0,2.023641815E0,1.033914963E1,1.383840428E1
1.195821375E0,5.676495667E0,-4.623435516E0,7.549550629E0,1.051639072E1
1.205852375E0,-2.093845825E0,-6.535858612E0,8.815617828E0,1.117214195E1
1.215884375E0,-3.804189148E0,-3.278033295E0,7.000791779E0,8.615593008E0
1.225916375E0,-2.321971436E0,-5.173242188E-1,5.532195740E0,6.021990153E0
1.235948375E0,-1.956431580E-1,1.953437805E0,5.560037842E0,5.896457946E0
1.245979375E0,-2.083666992E-1,-1.168170776E0,6.911277924E0,7.012403453E0
1.256011375E0,4.165837097E0,4.539609833E0,2.981305344E1,3.044306836E1
1.266043375E0,7.851173401E-1,-1.722617798E0,3.867806854E0,4.306245601E0
1.276075375E0,-1.865570526E0,-4.080514526E-1,3.008294220E0,3.563241991E0
1.286106375E0,4.227209473E0,1.721120911E0,2.138423126E1,2.186588447E1
1.296138375E0,1.610500946E0,-2.319426727E0,3.725153503E0,4.674422132E0
1.306170375E0,-2.921923828E-1,1.520238647E0,1.191686874E1,1.201699890E1
1.316201375E0,-4.544549561E-1,2.144141235E0,1.200698135E1,1.220538701E1
1.326233375E0,-1.596879272E0,-3.595523071E-1,-1.075064392E0,1.958332127E0
1.336265375E0,-9.057664490E-1,3.252735901E-1,1.715432739E1,1.718130275E1
1.346297375E0,2.234253845E0,4.355941772E-2,1.059436890E1,1.082748540E1
1.356328375E0,-6.033952332E-1,3.962260437E-1,8.696166229E0,8.726075176E0
1.366360375E0,-1.723964996E0,4.010160828E-1,8.028404846E0,8.221201468E0
1.376392375E0,2.135758667E0,-5.628295898E-2,1.245634689E1,1.263824398E1
1.386424375E0,-1.087488556E0,4.279600525E-1,8.356971588E0,8.438291017E0
1.396455375E0,-4.969665527E-2,2.646496582E-1,9.821376343E0,9.825067046E0
1.406487375E0,8.475375366E-1,1.181044006E-1,1.086081482E1,1.089447415E1
1.416519375E0,-9.623487854E-1,3.326083374E-1,8.721613312E0,8.780847468E0
